1,Cada momento es especial para quien tiene la visión de reconocerlo como tal, Henry Miller,La Vida
2,"La vida es muy peligrosa. No por las personas que hacen el mal, sino por las que se sientan a ver lo que pasa", Albert Einstein,La Vida
3,"Asegúrate de que colocas tus pies en el lugar correcto y luego, mantente firme", Abraham Lincoln,La Vida
4,"La felicidad no brota de la razón, sino de la imaginación", Immanuel Kant,La Vida
5,No se puede encontrar la paz evitando la vida, Virginia Woolf,La Vida
6,Lo que haces por ti se desvanece cuando mueres. Lo que haces por el resto conforma tu legado, Kalu Ndukwe Kalu,La Vida
7,"Buenos amigos, buenos libros y tener una conciencia tranquila: esta es la vida ideal", Mark Twain,La Vida
8,"Cuando las oportunidades no llamen a tu puerta, construye una", Milton Berle,La Vida
9,"La vida es un viaje de autodescubrimiento, atrévete a explorar", Anaïs Nin,La Vida
10,"Al cabo de los años he observado que la belleza, como la felicidad, es frecuente. No pasa un día en que no estemos, un instante, en el paraíso", Jorge Luis Borges,La Vida
11,La risa es el Sol que ahuyenta el invierno del rostro humano, Victor Hugo,La Vida
12,"La felicidad es amor, no otra cosa. El que sabe amar es feliz", Hermann Hesse,La Vida
13,El futuro pertenece a quienes creen en la belleza de sus sueños, Eleanor Roosevelt,La Vida
14,Un día sin reír es un día perdido, Charles Chaplin,La Vida
15,La vida es como el jazz… es mucho mejor si es improvisada, George Gershwin,La Vida
16,La vida es la constante sorpresa de saber que existo, R. Tagore,La Vida
17,Los sabios son los que buscan la sabiduría; los necios piensan haberla encontrado, Napoleón,La Vida
18,No lastimes a los demás con lo que te causa dolor a ti mismo, Buda,La Vida
19,Recuerda que la felicidad no depende de quién eres o qué tienes; depende únicamente de lo que piensas, Dale Carnegie,La Vida
20,Un hombre que no se alimenta de sus sueños envejece pronto, William Shakespeare,La Vida
21,El pesimista se queja del viento; el optimista espera que cambie; el realista ajusta las velas, William George Ward,La Vida
22,"Cuando las cosas se ponen difíciles, lo duro es ponerse en marcha", Joseph Kennedy,La Vida
23,"La vida no es justa, es apenas más justa que la muerte, eso es todo", William Goldman,La Vida
24,"Amar y sufrir es, a la larga, la única forma de vivir con plenitud y dignidad", Gregorio Marañón,La Vida
25,"La vida no es siempre una cuestión de tener buenas cartas, sino, a veces, de jugar bien una mala mano", Jack London,La Vida
26,"Es curioso que la vida, cuanto más vacía, más pesa", León Daudí,La Vida
27,Me entenderás… cuando te duela el alma como a mí, Frida Kahlo,La Vida
28,La vida no es sino una continua sucesión de oportunidades para sobrevivir, Gabriel García Márquez,La Vida
29,"Si el hombre no ha descubierto nada por lo que morir, no es digno de vivir", Martin Luther King,La Vida
30,"La experiencia no es lo que te ocurre, es lo que haces con lo que te ocurre", Aldous Huxley,La Vida
31,"La vida no va de encontrarse a uno mismo, sino de crearse a uno mismo", George Bernard Shaw,La Vida
32,En la vida hay algo peor que el fracaso: el no haber intentado nada, Franklin D. Roosvelt,La Vida
33,La peor lucha es la que no se hace, Karl Marx,La Vida
